"<gorodru>","<tell>","<gorodkz>","<vuzru>","<regionkz>","<addressru>","<id>","<vuzkz>","<regionru>","<addresskz>"
"Астана","8 (7172) 706 180, 8 (7172) 706 183, 8 (7172) 706 184","Астана","Назарбаев университет","Астана қаласы","Астана, пр. Кабанбай Батыра 53","4","Назарбаев Университеті","город Астана","Астана қ.,   Қабанбай Батыр даңғылы 53"
"Астана","8 (7172) 38-06-18","Астана","Финансовая академия","Астана қаласы","Астана, ул.Есенберлина, 25","9","Қаржы академиясы","город Астана","Астана қ.,  Есенберлин көшесі, 25"
"Астана","8 (7172) 27-92-30","Астана","Казахский университет технологии и бизнеса","Астана қаласы","Астана, ул. Кайым Мухамедханова,37А","14","Қазақ технология және бизнес  университеті","город Астана","Астана қ.,   Қайым Мұхамедханов көшесі,37А"
"Алматы","8 (727) 262-11-08","Алматы","Казахский национальный аграрный университет","Алматы қаласы","Алматы, пр. Абая, 8","19","Қазақ ұлттық аграрлық   университеті","город Алматы","Алматы қ.,   Абай көшесі, 8"
"Алматы","8 (727) 272 72 19","Алматы","Казахская национальная консерватория им.Курмангазы","Алматы қаласы","Алматы, ул. Абылай хана, 86","24","Құрманғазы атындағы Қазақ ұлттық консерваториясы   ","город Алматы","Алматы қ.,   Абылай хан көш. , 86"
"Алматы","8 (727) 2935292","Алматы","Алматинский технологический университет","Алматы қаласы","Алматы, ул. Толе би, 100","28","Алматы технологиялық университеті","город Алматы","Алматы қ.,   Төле би көшесі, 100"
"Алматы","8 (727) 377-12-55","Алматы","Университет Нархоз","Алматы қаласы","Алматы, ул. Жандосова, 55","33","Нархоз университеті","город Алматы","Алматы қ.,   Жандосов көшесі, 55"
"Алматы","8 (7272) 558-376","Алматы","Академия ""Кайнар""","Алматы қаласы","Алматы, ул. Сатпаева, 7а","38","«Кайнар» университеті","город Алматы","Алматы қ.,  Сәтпаев көшесі, 7 а"
"Алматы","8 (727) 376-74-78","Алматы","Казахский Университет Путей Сообщения","Алматы қаласы","Алматы, мкрн. Жетысу-1, д. 32а","43","Қазақ Еңбек және әлеуметтік қатынастар  академиясы  ","город Алматы","Алматы,   Жетісу-1 ш/ауданы,   32а үй"
"Алматы","8 (72-72) 485-658","Алматы","Университет «Алматы»","Алматы қаласы","Алматы, мкрн. Аксай 3/36, ул. Конаева, 43","48","«Алматы» университеті","город Алматы","Алматы қ.,   Ақсай 3/36 ш/ауд, Қонаев көшесі, 43"
"Алматы","7 (727) 2799543","Алматы","Казахская академия труда и социальных отношений","Алматы қаласы","Алматы, пр. Наурызбай Батыра, 9","53","Қазақ Еңбек және әлеуметтік қатынастар  академиясы  ","город Алматы","Алматы қ.,   Наурызбай батыр көшесі, 9"
"Каскелен","8 (727) 307-95-66","Қаскелен","Университет им. Сулейман Демиреля","Алматы  облысы","Каскелен","58","С.Демирель атындағы  университет  ","Алматинская область","Қаскелен қ."
"Актобе","8 (7132) 56 00 08","Ақтөбе","Западно-Казахстанский государственный медицинский университет им.М.Оспанова","Ақтөбе облысы","Актобе, ул. Маресьева, 68","61","М.Оспанов а Батыс Қазақстан   мемлекеттік медициналық университет  ","Актюбинская область","Ақтөбе қ.,  Маресьев көшесі,68"
"Актобе","8(7132) 97-40-81","Ақтөбе","Актюбинский университет им. С.Баишева","Ақтөбе облысы","Актобе, ул. Братьев Жубановых, 302А","62","С.Баишев атындағы Ақтөбе университеті   ","Актюбинская область","Ақтөбе қ.,   Ағайынды Жұбановтар көш., 302А"
"Атырау","8 (7122) 30-87-51","Атырау","Атырауский университет нефти и газа","Атырау облысы","Атырау, ул. Баймуханова, 45-а","65","Атырау мұнай және газ университеті","Атырауская область","Атырау қ.,   М.Баймұханов көшесі, 45-а"
"Семей","8 (7222) 569-755","Семей","Государственный медицинский университет г. Семей","Шығыс Қазақстан облысы ","Семей, ул. Абая, 103","70","Семей қаласының мемлекеттік медициналық университеті","Восточно-Казахстанская область","Семей қ.,   Абай көшесі, 103"
"Тараз","8(7262) 432402","Тараз","Таразский государственный университет им.М.Х.Дулати","Жамбыл облысы","Тараз, ул. Сулейменова, 7","75","М.Дулати атындағы Тараз  мемлекеттік  университеті   ","Жамбылская область","Тараз қ.,  Суүлейменов көшесі, 7 "
"Уральск ","8-7112-54-58-84, 8-7112-54-18-98","Орал","Казахстанский университет инновационных и телекоммуникационных систем","Батыс Қазақстан облысы ","Уральск, ул. Маметовой, 81","80","Қазақстан инновациялық және телекеммуникациялық  жүйелер университеті ","Западно-Казахстанская область","Орал қ.,   М.Маметова көшесі 81"
"Караганда ","87212/ 44-16-32","Қарағанды","Карагандинский экономический университет Казпотребсоюза","Қарағанды облысы","Караганда, ул. Академическая, 9","85","Қазақстан тұтынушылар одағының Қарағанды    экономикалық университеті  ","Карагандинская область","Қарағанды  қ.,   Академическая көшесі, 9"
"Аркалык","8 (71430) 7-24-88","Арқалық","Аркалыкский государственный педагогический институт им. Ы.Алтынсарина","Қостанай облысы","Аркалык, ул. Ауелбекова, 17","89","Ы.Алтынсарин атындағы Арқалық мемлекеттік педагогикалық институты   ","Костанайская область","Арқалық қ.,   Әуелбеков көшесі, 17"
"Костанай","8 (7142) 554-142","Қостанай","Костанайский социально-технический университет им.академика Зулхарнай Алдамжара","Қостанай облысы","Костанай, ул. Герцена, 27","94","З.Алдамжар атындағы Қостанай   әлеуметтік-техникалық университеті  ","Костанайская область","Қостанай қ.,  Герцен көшесі, 27"
"Актау","8/7292/50-50-20","Ақтау","Мангыстауский гуманитарно-технический университет","Маңғыстау облысы","Актау, мкрн. 3б, 9","99","Маңғыстау гуманитарлық-техникалық университеті","Мангистауская область","Ақтау қ.,3б ш/а, 9 -ғимарат"
"Петропавловск","8 (7152) 49-33-42","Петропавл","Северо-Казахстанский государственный университет им.М.Козыбаева","Солтүстік Қазақстан облысы","Петропавловск, ул. Пушкина, 86","104","М.Қозыбаев атындағы Солтүстік Қазақстан мемлекеттік    университеті","Северо-Казахстанская область","Петропавл қ.,  Пушкин көшесі, 86"
"Шымкент","8 (7252) 337-777","Шымкент","Университет ""Мирас""","Оңтүстік Қазақстан облысы","Шымкент, ул. Иляева, 3","109","«Мирас» университеті","Южно-Казахстанская область","Шымкент қ.,  Г.Иляев көшесі, 3"
"Шымкент","8 /7252/ 53-56-95","Шымкент","Южно-Казахстанский гуманитарный институт им. М.Сапарбаева","Оңтүстік Қазақстан облысы","Шымкент, ул. Мадели кожа, 137","114","М. Сапарбаев атындағы Оңтүстік Қазақстан гуманитарлық институты   ","Южно-Казахстанская область","Шымкент қ.,   Маделі қожа көшесі, 137"
"Астана","8 (7172) 798-577","Астана","Казахская национальная академия хореографии","Астана қаласы","Астана, пр. Улы Дала, 9","3","Қазақ ұлттық хореография академиясы   ","город Астана","Астана қ., Ұлы Дала даңғылы, 9"
"Астана","8 (7172) 70-30-39","Астана","Университет КАЗГЮУ","Астана қаласы","Астана, Коргалжинское шоссе, 8","8","Қазақ гуманитарлық-заң   университеті","город Астана","Астана қ., Қорғалжын тас жолы, 8."
"Астана","8 (7172) 56-19-33","Астана","Евразийский гуманитарный институт","Астана қаласы","Астана, проспект М.Жумабаева, дом 4","13","Еуразиялық  гуманитарлық  институты","город Астана","Астана қ.,   М.Жумабаев даңғылы,   4 үй"
"Алматы","8 /727/ 261-42-40","Алматы","Казахская национальная академия искусств им.Т.Жургенова","Алматы қаласы","Алматы, ул. Панфилова, 127","18","Т.К.Жургенов атындағы Қазақ ұлттық өнер академиясы    ","город Алматы","Алматы қ.,   Панфилов көш., 127"
"Алматы","8 (727) 2211175","Алматы","Казахский национальный университет им.аль-Фараби","Алматы қаласы","Алматы, пр. аль-Фараби, 71","23","Әл-Фараби  атындағы Қазақ ұлттық   университеті    ","город Алматы","Алматы қ., Әл-Фараби даңғылы, 71"
"Алматы","8 (7272) 92-79-55","Алматы","Алматинский университет энергетики и связи","Алматы қаласы","Алматы, ул. Байтурсынова, 126","27","Алматы энергетика және байланыс  университеті  ","город Алматы","Алматы қ.,  Байтурсынов көшесі, 126"
"Алматы","8 (727) 292-37-21","Алматы","Казахская академия спорта и туризма","Алматы қаласы","Алматы, пр. Абая 85/105","32","Қазақ спорт және туризм  академиясы  ","город Алматы","Алматы қ.,   Абай даңғылы, 85/105"
"Алматы","8 (727) 346 84 48","Алматы","Казахский медицинский университет непрерывного образования","Алматы қаласы","Алматы, ул. Манаса, 34","37","Қазақ медициналық үздіксіз білім беру университеті  ","город Алматы","Алматы қ.,  Манас көшесі, 34"
"Алматы","8 (727) 313-11-55, 350-78-88","Алматы","Евразийская юридическая академия имени Д. А. Кунаева","Алматы қаласы","Алматы, ул. Курмангазы, 107","42","Д.Қонаев атындағы Еуразиялық заң    академиясы   ","город Алматы","Алматы қ.,   Құрманғазы көшесі, 107"
"Алматы","8 (727) 292-24-43","Алматы","Евразийский Технологический Университет","Алматы қаласы","Алматы, ул. Толе би, 109","47","Еуразиялық технологиялық университет","город Алматы","Алматы қ.,   Төле би көшесі, 109"
"Алматы","8 (727) 309-58-15","Алматы","Алматинская академия экономики и статистики","Алматы қаласы","Алматы, ул. Жандосова, 59","52","Алматы  экономика және статистика академиясы","город Алматы","Алматы қ.,   Жандосов  көшесі, 59"
"Талдыкорган","(87282) 22-21-94","Талдықорған","Жетысуский государственный университет им.И.Жансугурова","Алматы  облысы","Талдыкорган, ул, Жансугурова, 187 А","57","Ілияс  Жансүгүров аатындағы Жетісу  мемлекеттік университеті ","Алматинская область","Талдықорған қ.,   Жансүгүров көшесі  187 А"
"Атырау","8 (7122) 276-323","Атырау","Атырауский государственный университет им.Х.Досмухамедова","Атырау облысы","Атырау, пр. Студентов, 1","64","Х.Досмұхамедов атындағы Атырау  мемлекеттік университеті ","Атырауская область","Атырау қ.,   Студентер даңғылы,   1-құрылыс"
"Усть-Каменогорск","8 (7232) 22-23-24","Өскемен","Казахстанско-Американский свободный университет","Шығыс Қазақстан облысы ","Усть-Каменогорск, ул. Бажова, 68","69","Қазақстан –Америка еркін университеті","Восточно-Казахстанская область","Өскемен қ.,  Бажов көшесі, 68"
"Тараз","8 (7262) 432637","Тараз","Таразский государственный педагогический университет","Жамбыл облысы","Тараз, ул. Толе би, 62","74","Тараз  мемлекеттік педагогикалық университеті","Жамбылская область","Тараз қ.,  Төле би көшесі, 62"
"Уральск "," 8 (7112) 509-990","Орал","Западно-казахстанский инновационно-технологический университет","Батыс Қазақстан облысы ","Уральск, пр. Достык, 164","79","Батыс-Қазақстан инновациялық-технологиялық университеті","Западно-Казахстанская область","Орал қ.,   Достық даңғылы, 194"
"Караганда ","8 (7212) 77-03-84","Қарағанды","Карагандинский государственный университет им.Е.А.Букетова","Қарағанды облысы","Караганда, ул. Университетская, 28","84","Академик Е.Букетов атындағы Қарағанды    мемлекеттік университеті   ","Карагандинская область","Қарағанды  қ.,   Университет көшесі, 28"
"Костанай","8 (7142) 39-25-19","Қостанай","Костанайский инженерно-экономический университет им. М. Дулатова","Қостанай облысы","Костанай, ул. Чернышевского, 59","93","М.Дулатов атындағы  Қостанай   инженерлік-экономикалық университеті   ","Костанайская область","Қостанай қ.,   Чернышевский көшесі, 59"
"Актау","8 /7292/  425-777","Ақтау","Каспийский государственный университет технологии и инжиниринга им. Ш.Есенова","Маңғыстау облысы","Актау, мкрн-14, дом 50","98","Ш.Есенов атындағы  Каспий мемлекеттік технология және инжиниринг  университеті","Мангистауская область","Ақтау қ.,   14- шағынаудан,   50 үй"
"Екибастуз"," 8 (7187) 76-12-86","Екібастұз","Екибастузский инженерно-технический институт им.академика К.Сатпаева","Павлодар облысы","Екибастуз, ул. Энергетиков, 54 а","103","Қ.Сәтпаев атындағы Екібастұз инженерлік-техникалық институты ","Павлодарская область","Екібастұз қ.,   Энергетиктер көшесі, 54 а"
"Шымкент","8 (7252) 210141","Шымкент","Южно-Казахстанский государственный университет им.М.Ауэзова","Оңтүстік Қазақстан облысы","Шымкент, пр. Тауке хана, 5","108","М. Әуэзов атындағы  Оңтүстік Қазақстан мемлекеттік университеті   ","Южно-Казахстанская область","Шымкент қ.,   Тәуке хан даңғылы, 5"
"Шымкент","8 (7252) 952-580","Шымкент","Казахстанский инженерно-педагогический университет Дружбы Народов","Оңтүстік Қазақстан облысы","Шымкент, ул. Толе би, 32","113","Қазақстан инженерлі – педагогикалық халықтар достығы университеті  ","Южно-Казахстанская область","Шымкент қ.,   Төле би көшесі, 32"
"Астана","8 (7172) 705-455, 8 (7172) 705-494","Астана","Казахский национальный университет искусств","Астана қаласы","Астана, пр. Тәуелсіздік, 50 ","2","Қазақ ұлттық өнер   университеті  ","город Астана","Астана қ., Тәуелсіздік даңғылы, 50"
"Астана","8 (7172) 53 94 53","Астана","Медицинский университет ""Астана""","Астана қаласы","Астана, пр. «Сарыарқа», 33","7","Астана Медициналық  университеті  ","город Астана","Астана қ.,   «Сарыарқа» даңғылы, 33"
"Астана","8 (7172) 39-82-32","Астана","Университет ""Астана""","Астана қаласы","Астана, Павлова, 30","12","«Астана» университеті","город Астана","Астана қ., Павлов көшесі, 30"
"Кокшетау","8 (7162) 33-68-20","Көкшетау","Кокшетауский университет им. Абая Мырзахметова","Ақмола облысы","Кокшетау, ул. Ауэзова, 189 А","17","А.Мырзахметов атындағы Көкшетау  университеті","Акмолинская область","Көкшетау қ.,   Әуэзов көшесі, 189 А"
"Алматы","8 (7272) 92-60-25","Алматы","Казахский национальный исследовательский технический университет имени К.И.Сатпаева ","Алматы қаласы","Алматы, улю Сатпаева, 22","22","Қ.И.Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университеті","город Алматы","Алматы қ.,   Сәтпаев көшесі, 22"
"Алматы","8 (727) 383-90-64","Алматы","Академия гражданской авиации","Алматы қаласы","Алматы, ул. Закарпатская, 44","26","Азаматтық авиация академиясы  ","город Алматы","Алматы қ.,   Закарпатская көшесі, 44"
"Алматы","8 (7272) 927-664","Алматы","Казахская академия транспорта и коммуникаций им.М.Тынышпаева","Алматы қаласы","Алматы, ул. Шевченко, 97","31","М.Тынышпаев атындағы Қазақ көлік және коммуникациялар   академиясы  ","город Алматы","Алматы қ.,   Шевченко көшесі, 97"
"Алматы","8 (727) 270 42 33 ","Алматы","Университет КИМЭП","Алматы қаласы","Алматы, пр. Абая, 2","36","«ҚМЭБИ» университеті","город Алматы","Алматы қ., Абай көшесі, 2"
"Алматы","8 (7272) 74-78-40, 275-01-96","Алматы","Центрально-Азиатский университет","Алматы қаласы","Алматы, ул. Джандосова, 60а","41","Орта- Азиялық университет","город Алматы","Алматы қ., Джансдосов көшесі, 60а"
"Алматы","8 (727) 379 78 93","Алматы","Университет иностранных языков и деловой карьеры","Алматы қаласы","Алматы, ул. Казыбек би, 168","46","Шет  тілдер  және іскерлік карьера университеті  ","город Алматы","Алматы қ.,  Қазыбек би көшесі, 168"
"Алматы","8 /727/ 250 69 30","Алматы","Каспийский общественный университет","Алматы қаласы","Алматы, пр. Сейфуллина, 521","51","Каспий  қоғамдық  университеті","город Алматы","Алматы қ.,    Сейфуллин даңғылы, 521"
"Алматы","8 (727) 3378018","Алматы","Казахстанский медицинский университет «ВШОЗ»","Алматы қаласы","Алматы, ул. Утепова, 19а","56","«ҚДЖМ» Қазақ медициналық   университеті","город Алматы","Алматы қ.,  Утепов көшесі, 19 а"
"Актобе","8 (7132) 21-73-65","Ақтөбе","Казахско-Русский международный университет","Ақтөбе облысы","Актобе, ул. Айтеке би, 52","63","Қазақ-Орыс халықаралық университеті","Актюбинская область","Ақтөбе қ.,   Айтеке би көшесі, 52"
"Усть-Каменогорск","8 (7232) 241-471","Өскемен","Восточно-Казахстанский государственный университет им.С.Аманжолова","Шығыс Қазақстан облысы ","Усть-Каменогорск, ул. Казахстанская, 55","68","С.Аманжолов атындағы  Шығыс Қазақстан мемлекеттік университеті  ","Восточно-Казахстанская область","Өскемен қ.,   Қазақстан көшесі, 55"
"Семей","8 (7222) 56-58-13","Семей","Казахстанский инновационный университет","Шығыс Қазақстан облысы ","Семей, ул. Байсеитовой, 5","73","Қазақстан инновациялық   университеті","Восточно-Казахстанская область","Семей қ.,   Байсеитова көшесі,5"
"Уральск ","8(7112) 51-42-66","Орал","Западно-Казахстанский государственный университет им.М.Утемисова","Батыс Қазақстан облысы ","Уральск, пр. Достык, 162","78","М.Өтемісов атындағы Батыс Қазақстан мемлекеттік   университеті  ","Западно-Казахстанская область","Орал қ.,  Достық даңғылы, 162"
"Караганда ","8 (7212) 560-328","Қарағанды","Карагандинский государственный технический университет","Қарағанды облысы","Караганда, ул. Бульвар мира, 56","83","Қарағанды мемлекеттік техникалық  университеті","Карагандинская область","Қарағанды  қ.,   Бульвар мира көшесі, 56"
"Жезказган","8-7102-73-60-15","Жезқазған","Жезказганский университет им. О.А.Байконурова","Қарағанды облысы","Жезказган, пр. Алашахан, 1-Б","88","О.Байқоңуров атындағы Жезқазган  университеті ","Карагандинская область","Жезқазған,   Алашахан даңғылы, 1-Б"
"Костанай","8 (7142) 511-157","Қостанай","Костанайский государственный университет им. А.Байтурсынова","Қостанай облысы","Костанай, ул. Байтурсынова, 47","92","А.Байтұрсынов атындағы Қостанай   мемлекеттік университеті   ","Костанайская область","Қостанай қ., ул. Байтурсынова, 47"
"Кызылорда","8 7242 24-60-16","Қызылорда","Гуманитарно - технический институт ""Акмешит""","Қызылорда облысы","Кызылорда, ул. Муратбаева, 43","97","«Ақмешіт» гуманитарлық-техникалық  институты","Кызылординская область","Қызылорда қ.,   Г. Мұратбаев көшесі, 43"
"Павлодар","8 (7182) 34-46-56","Павлодар","Инновационный Евразийский университет","Павлодар облысы","Павлодар, ул. М.Горького, 102/4","102","Инновациялық  Еуразиялық университет","Павлодарская область","Павлодар қ.,   М. Горький көшесі, 102/4"
"Шымкент","8 (7252) 301-459","Шымкент","Южно-Казахстанский государственный педагогический университет","Оңтүстік Қазақстан облысы","Шымкент, ул. Иляева, 16","107","Оңтүстік Қазақстан мемлекеттік педагогикалық университеті","Южно-Казахстанская область","Шымкент қ. ,   Г.Иляев көшесі 16"
"Шымкент","8 (7252) 371-287","Шымкент","Международный гуманитарно-технический университет","Оңтүстік Қазақстан облысы","Шымкент, ул. Байтурсынова, 80А","112","Халықаралық  гуманитарлық-техникалық университеті","Южно-Казахстанская область","Шымкент қ.,   Байтұрсынов көшесі, 80А"
"Астана","8 (7172) 70-94-82, 8 (7172) 70-91-57","Астана","Евразийский национальный университет им.Л.Н.Гумилева","Астана қаласы","Астана, ул. Сатпаева, 2а","1","Л.Н. Гумилев атындағы Еуразиялық ұлттық университеті ","город Астана","Астана қ.,   Сәтпаев көшесі, 2а"
"Астана","8 (7172) 317-597","Астана","Казахский агротехнический университет им. С.Сейфуллина","Астана қаласы","Астана, пр. Жеңіс, 62","6","С.Сейфуллин атындағы Қазақ агротехникалық    университеті  ","город Астана","Астана қ., Жеңіс даңғылы 62"
"Астана","8 (7172) 398-118","Астана","Университет ""Туран-Астана""","Астана қаласы","Астана, ул. Ы. Дукенулы, 29","11","«Туран-Астана» университеті","город Астана","Астана қ.,   Ы. Дүкенұлы көш., 29"
"Кокшетау","8 (7162) 26 49 49","Көкшетау","Гуманитарно-техническая академия","Ақмола облысы","Кокшетау, ул. Жамбыла, 35","16","Гуманитарлық-техникалық академия","Акмолинская область","Көкшетау қ.,   Жамбыл көшесі, 35"
"Алматы","8 (7272) 291-48-74","Алматы","Казахский национальный педагогический университет им. Абая","Алматы қаласы","Алматы, пр. Достык, 13","21","Абай атындағы Қазақ ұлттық педагогикалық    университеті  ","город Алматы","Алматы қ.,  Достық даңғылы,13"
"Алматы"," 8 (727) 233 18 45","Алматы","Казахский государственный женский педагогический университет","Алматы қаласы","Алматы. Ул. Айтике би, 99","25","Қазақ мемлекеттік қыздар педагогикалық   университеті","город Алматы","Алматы қ.,   Айтеке би көшесі, 99"
